Code,Description,LAT,LON
10398,"Altamira, Brazil: Altamira Airport",12.13597475,-85.71556507474533
10399,"Namatanai, Papua New Guinea: Namatanai Airport",-3.6679385,152.4371907
10400,"Athens, OH: Ohio University",,
10401,"Aitape, Papua New Guinea: Aitape Airport",-3.1433431,142.34665280000002
10402,"Amritsar, India: Amritsar International",31.70858515,74.80044741056383
10403,"Atar, Mauritania: Atar Airport",9.2533,31.3387
10404,"Artesia, NM: Artesia Municipal",32.8525152,-104.4664108253534
10405,"Atmautluak, AK: Atmautluak Airport",60.863104299999996,-162.2734311
10406,"Attu, AK: Casco Cove CGS",,
10407,"Ati, Chad: Ati Airport",13.239830800000002,18.315420558725343
10408,"Appleton, WI: Appleton International",44.2573941,-88.51688447338732
