COUNT,DATE
1167,2015-10-16
938,2015-10-17
823,2015-10-18
1196,2015-10-19
984,2015-10-20
855,2015-10-21
911,2015-10-22
888,2015-10-23
783,2015-10-24
873,2015-10-25
1297,2015-10-26
1119,2015-10-27
988,2015-10-28
890,2015-10-29
1343,2015-10-30
1571,2015-10-31
954,2015-11-01
1335,2015-11-02
753,2015-11-03
763,2015-11-04
1058,2015-11-05
1118,2015-11-06
888,2015-11-07
992,2015-11-08
1167,2015-11-09
907,2015-11-10
949,2015-11-11
918,2015-11-12
958,2015-11-13
550,2015-11-14
699,2015-11-15
839,2015-11-16
1212,2015-11-17
1086,2015-11-18
1653,2015-11-19
2765,2015-11-20
1634,2015-11-21
1414,2015-11-22
1359,2015-11-23
858,2015-11-24
916,2015-11-25
849,2015-11-26
669,2015-11-27
785,2015-11-28
1227,2015-11-29
1044,2015-11-30
890,2015-12-01
982,2015-12-02
787,2015-12-03
738,2015-12-04
960,2015-12-05
539,2015-12-06
787,2015-12-07
788,2015-12-08
1052,2015-12-09
1247,2015-12-10
1295,2015-12-11
899,2015-12-12
823,2015-12-13
1026,2015-12-14
1239,2015-12-15
996,2015-12-16
965,2015-12-17
1166,2015-12-18
1503,2015-12-19
967,2015-12-20
1786,2015-12-21
2105,2015-12-22
2050,2015-12-23
1355,2015-12-24
804,2015-12-25
1115,2015-12-26
1341,2015-12-27
4022,2015-12-28
5584,2015-12-29
3390,2015-12-30
2038,2015-12-31
1235,2016-01-01
1248,2016-01-02
1762,2016-01-03
1497,2016-01-04
1419,2016-01-05
1099,2016-01-06
929,2016-01-07
993,2016-01-08
1034,2016-01-09
1023,2016-01-10
2519,2016-01-11
1631,2016-01-12
1202,2016-01-13
972,2016-01-14
1089,2016-01-15
